text,category,plant,genus,species,plant_group,category_int,plant_group_int
"The soil requirements for eastern hemlock are not exacting (35). They are universally characterized as being moist to very moist but with good drainage. In the Lake States the species grows on upland sandy loams, loamy sands, and silt loams, often with an abundance of ground or coarse rocky material throughout the upper profile deposited from glacial or fluvial material. In Canada and the northeastern States the soils under eastern hemlock tend to be shallow loams and silt loams, often over granite, gneiss, and slate bedrock (Typic, Lithic, and Entic Haplorthods of the order Spodosols). Typically, most soils are highly acid, particularly in the upper horizons, but some are near neutral. The heavy, slowly decomposing litter fosters podzolization or leaching as the stand increases in age. On sites in which eastern white pine (Pinus strobus) is a major component, the soils tend to be of a sandy texture, well mixed with humus, moist, and well drained (Alfic Haplorthods). Scattered patches of hemlock also occur on the finer glacial tills as well (Alfic Fragiorthods), but in general these soils have less hemlock than the coarser soils. Eastern hemlock grows from sea level to about 730 m (2,400 ft) in elevation in the northeastern and northern portions of the range. Most commonly it is found on benches, flats, and swamp borders, provided the peat and muck soils are shallow (Aquic Haplorthods or Aerie Haplaquods). On the Allegheny Plateau, especially in New York and Pennsylvania, most of the hemlock grows between 300 and 910 m (1,000 and 3,000 ft) (35). In the southern Appalachians the most frequent occurrences are at elevations of 610 to 1520 m (2,000 to 5,000 ft) and often are restricted to north and east slopes, coves, or cool, moist valleys (35). Outliers tend to be severely restricted by a combination of edaphic and climatic factors.",Soils and Topography,Eastern Hemlock,tsuga,canadensis,conifer,15,1
"Lumber production from eastern hemlock reached its peak between 1890 and 1910. Primary uses were in light framing, sheathing, roofing, subflooring, boxes, crates, and general millwork. Much of the present production is used in pulping or newsprint and wrapping papers, but the demand for hemlock lumber appears to be increasing again. Currently, eastern hemlock stands are considered essential for shelter and bedding of white-tailed deer during the winter. In regions of marked reductions in type area, many public agencies have restricted cutting until reliable methods of regenerating the stand become operational (6). The type also is considered important as cover for ruffed grouse, turkeys, and many other animals. Eastern hemlock often is planted as an ornamental because of its relative freedom from insects and disease, good foliage color, and adaptability to shearing. Some effort is being made to plant the species under forest conditions because it is so important to wildlife. Tannin from the bark of eastern hemlock formerly was extracted for use in processing leather. Now synthetic and important products are used and a once prosperous industry has been eliminated (19).",Special Uses,Eastern Hemlock,tsuga,canadensis,conifer,16,1
"Eastern hophornbeam is a minor member of most forest communities where it is present. It rarely attains a codominant or dominant crown position in mature stands and is not a commercial species. In the following forest cover types it is only a subordinate species (Society of American Foresters) (18): Boreal and Northern Forest Region 16 Aspen 20 White Pine-Northern Red Oak-Red Maple 24 Hemlock-Yellow Birch 25 Sugar Maple-Beech-Yellow Birch 26 Sugar Maple-Basswood 27 Sugar Maple 28 Black Cherry-Maple 33 Red Spruce-Balsam Fir 60 Beech-Sugar Maple Central Forest Region 42 Bur Oak 52 White Oak-Black Oak-Northern Red Oak 55 Northern Red Oak 110 Black Oak Southern Forest Region (30) 82 Loblolly Pine-Hardwood 87 Sweetgum-Yellow-Poplar 91 Swamp Chestnut Oak-Cherrybark Oak It probably occurs in other types but is omitted from their descriptions, particularly in the South where the types are complex. The species occurs in all nine forest regions Braun recognizes in the eastern deciduous forest formation (6). One plant association based on the species, in which eastern hophornbeam is second in importance to sugar maple, is recognized in Quebec as the Ostryo-Aceratum saccaharai association that occurs on dry knoll tops (31). From the northern part of its range to Missouri, Tennessee, and Maryland, eastern hophornbeam reaches its greatest abundance in hardwood communities dominated by sugar maple (Acer saccharum), American beech (Fagus grandifolia), or both. It may be the second most important species in some stands. Occasionally, it is abundant in stands dominated by eastern hemlock (Tsuga canadensis) and northern red oak (Quercus rubra). In aspen stands, it is a member of a northern hardwood understory reclaiming the site. In the central United States the species is frequently an important subcanopy component of stands dominated by white oak (Quercus alba), black oak (Q. velutina), northern red oak, scarlet oak (Q. coccinea), and southern red oak (Q. falcata). The species named in the northern forest types plus white ash (Fraxinus americana) and American elm (Ulmus americana) are eastern hophornbeam's most frequent associates in the North. Progressing southward, the following species are added as associates: bitternut (Carya cordiformis), shagbark (C. ovata), and pignut (C. glabra), hickories; sweetgum (Liquidambar styraciflua); blackgum (Nyssa sylvatica); yellow-poplar (Liriodendron tulipifera); slippery elm (Ulmus rubra); sassafras (Sassafras albidum); and flowering dogwood (Cornus florida). The extremely species-rich mixed mesophytic forests of the Cumberland Mountains and plateau have minor amounts of eastern hophornbeam. Within the Piedmont and Coastal Plains of the South the species grows in the southern mixed hardwood and in loblolly (Pinus taeda) and shortleaf (P echinata) pine-dominated forests. Although typically a minor component of southern mixed hardwood stands, it is occasionally the second most abundant species (35,36). In these forests it is associated with many trees including American beech, southern magnolia (Magnolia grandiflora), white oak, loblolly pine, and shortleaf pine; and with many understory species including flowering dogwood, American holly (Ilex opaca), American hornbeam (Carpinus caroliniana), tree sparkleberry (Vaccinium arboreum), eastern redbud (Cercis canadensis), and pawpaw (Asimina triloba). Other associated trees include blackgum; sweetgum; yellow-poplar; southern red laurel (Quercus laurifolia), water (Q. nigra), swamp chestnut (Q. michauxii), post (Q. stellata), black, cherrybark (Q. falcata var. pagodifolia), shumard (Q. shumardii), and scarlet oaks; mockernut (Carya tomentosa), sand (C. pallida), pignut, and bitternut hickories; American basswood (Tilia americana); red (Acer rubrum) and Florida (A. barbatum) maples; winged (Ulmus alata) and slippery elms; and white and green (Fraxinus pennsylvanica) ashes. Shrubs that occur with eastern hophornbeam. in the north include mountain maple (Acer spicatum), roundleaf dogwood (Cornus rugosa), American hazel (Corylus americana), beaked hazel (Corylus cornuta), dwarf bush-honeysuckle (Diervilla lonicera), Atlantic leatherwood (Dirca palustris), witch-hazel (Hamamelis virginiana), fly honeysuckle (Lonicera canadensis), American elder (Sambucus canadensis), redberry elder (Sambucus pubens), American yew (Taxus canadensis), mapleleaf viburnum (Viburnum acerifolium), and hobblebush (Viburnum alnifolium). In the South its associated shrub species include devils-walkingstick (Aralia spinosa), St. Andrews cross (Ascyrum hypericoides), smallflower pawpaw (Asimina parviflora), beautyberry (Callicarpa americana), fringetree (Chionanthus virginicus), strawberry-bush (Euonymus americanus), oakleaf hydrangea (Hydrangea quercifolia), southern bayberry (Myrica cerifera), woolly azalea (Rhododendron viscosum tomentosum), greenbriers (Smilax spp.), sweetleaf (Symplocus tinctoria), and Vaccinium spp.",Associated Forest Cover,Eastern Hophornbeam,ostrya,virginiana,hardwood,1,0
"Climatic conditions vary considerably over the range of eastern hophornbeam. In the northwest corner of its range precipitation is 460 mm (18 in) annually, the frost-free season is 100 days, the mean July temperature is 16° C (60° F), and the mean January temperature is -18° C (0° F). Along the gulf coast precipitation is 1630 mm (64 in) annually, the frost-free season is 290 days, the mean July temperature is 29° C (84° F), and the mean January temperature is 13° C (56° F).",Climate,Eastern Hophornbeam,ostrya,virginiana,hardwood,2,0
"One variety of the species, var. lasia, replaces the typical Ostrya in the southern half of the species' range. The forma glandulosa occurs in the range of the typical Ostrya (20). The three are distinguished by surface features on new twigs: var. lasia is pubescent, forma glandulosa is glandular hairy, and the typical plant is glabrous or sparsely pilose. The species has eight pairs of chromosomes.",Genetics,Eastern Hophornbeam,ostrya,virginiana,hardwood,7,0
"Eastern hophornbeam occurs throughout most of the eastern half of the United States. The range extends from Cape Breton and Prince Edward Island west through southern Ontario, northern Michigan, to southeastern Manitoba; south into North Dakota, the Black Hills of South Dakota and northeastern Wyoming, along the Niobrara River Valley and Delta areas. It is also found in the mountains of Mexico, south to El Salvador and Honduras. -The native range of eastern hophornbeam.",Native Range,Eastern Hophornbeam,ostrya,virginiana,hardwood,11,0
"Flowering and Fruiting- Eastern hophornbearn is monoecious; from I to 3 staminate catkins develop at the end of branches late in the summer that precede pistillate flower development. Pollen forms, matures, and is shed in spring. It is wind disseminated. Solitary pistillate catkins first appear with the beginning of leaf development, and full bloom occurs about a month later. In the southeast, flowering occurs between March 25 and April 16, and in the north, between mid-May and mid-June (21). Seed Production and Dissemination- The fruits complete development during the summer and are ripe by the end of August in Michigan and as late as October in the South. The hoplike strobile begins to break up immediately after ripening and the seeds are dispersed throughout the fall and into early winter. Seeds should be collected when the strobiles are a pale greenish brown and before they dry enough to shatter. Seeds are light-about 66,000 cleaned seeds per kilogram (30,000/lb). The nuts are 7 min (0.3 in) long and are enclosed in an inflated sac about 20 min (0.8 in) long that provides buoyancy and improved dispersal by the wind. Birds provide a secondary means of seed dispersal. Trees begin to be fruitful at age 25. Seed production in northern hardwood stands has averaged 124,000/ha (50,000/acre) (19,21,37). Seedling Development- Seeds usually germinate in the spring the year after they are shed. Germination is epigeal. The seeds have a form of internal dormancy that requires stratification to overcome. Potential germination is 85 to 90 percent but germination capacity is only 27 to 65 percent (44). Information is scarce on the relation of germination and seedling establishment to the environment. The occurrence of reproduction on a variety of sites in undisturbed forests indicates its ability to become established on various seedbeds, soils, and moisture regimes under dense shade. Conversely, the ecesis of the species into old fields demonstrates its ability to become established in the open in competition with a heavy cover of grasses and forbs. Mechanical scarification to expose mineral soil seedbeds in an Ontario partially cut sugar maple stand had no effect on eastern hophornbearn abundance after 10 years (50). Seedlings have the potential for unusually fast juvenile height growth (27,48,54). In Pennsylvania eastern hophornbeam was 2.1 rn (7 ft) tall 5 years after a partial harvest of the overstory. In Michigan, the species averaged 3.4 in (11 ft) tall 10 years after an improvement cut and 5.9 rn (19.5 ft) tall 20 years after the cut. Advance reproduction of eastern hophornbearn is aggressive when released by overstory cutting, a trait that makes its proportion in the reproduced stand similar to that in the original stand regardless of the cutting method (53). Its position in the new stand may even be improved if new reproduction of eastern hophornbearn becomes established, as is likely, or if mortality increases among the other species. Increases have occurred after clearcutting and seedtree and selection cuttings in West Virginia Appalachian hardwood stands on better sites (48). Similarly, the species proportion of the basal area stocking in northern hardwood stands in Wisconsin increased after strip clearcutting and after a shelterwood removal (21). Greater increases in the species relative abundance have occurred when northern hardwood stands less than 40 years old are clearcut because little advance reproduction of other species is present at this time (28). The species' response to fire apparently is related to the severity of the fire. Areas burned severely enough to kill almost the entire overstory in 21 white oak-scarlet oak stands in Rhode Island contained no eastern hophornbearn 5 to 51 years later. In unburned stands the species made up 10 percent of the understory stems (9). After a prescribed bum of a clearcut aspen stand, eastern hophornbeam remained constant, because new sprouting equalled mortality during the 5 years following the burn (39). Accidental fires in two sugar maple stands in New York resulted in increased sugar maple and eastern hophornbearn stocking because of sprouting (46). The initial incidence of fire in the Big Woods of Minnesota converted the forest to a thicket of basswood and eastern hophornbeam (13). Subsequent fires converted them to a bur oak savanna. Vegetative Reproduction- Stump sprouting is common on cut, burned, or injured trees. The proportion of stumps sprouting increases with stump height. Only 17 percent of the stumps cut at ground line sprouted, whereas 40 percent of stumps cut at a height of 15 cm (6 in) sprouted and between 80 and 90 percent of stumps cut at a height of more than 30 cm (12 in) sprouted (15). Sprouts arose from dormant adventitious buds on the stump and no root suckering occurred. After fires, 62 percent of the top-killed stems in New York (46) and 100 percent of those in Minnesota sprouted (39). Number of sprouts per clump averaged 4.4 in New York and 32 in Minnesota. Height growth of the Minnesota sprouts averaged 2.4 in (7.9 ft) after 5 years, which is about average for the other species measured. Height growth of eastern hophornbeam sprouts in an Allegheny hardwood stand exceeded that of other sprouting species (27).",Reproduction and Early Growth,Eastern Hophornbeam,ostrya,virginiana,hardwood,13,0
"Growth and Yield- Eastern hophornbeam trees are normally less than 30 cm (12 in) in d.b.h. and less than 12 m (40 ft) tall, except in east Texas and south Arkansas where they may reach a height of from 15 to 18 m (50 to 60 ft). Occasionally they reach saw log size. The largest tree is 91 cm (36 in) in d.b.h., 22 in (73 ft) tall, and has a crown spread of 27 m (88 ft). It was found in 1976 in Michigan. The slow growth and small size of the species earn it the title ""weed"" throughout its range, especially in some areas in the South where it is considered the number one weed species. Eastern hophornbeam usually is discriminated against in stands managed for timber. Silviculturally, more interest has been given to eradicating it than to improving its growth. Girdling is effective in eradicating the species, killing the tree within 2 years. Herbicides (especially 2,4,5-T, and Tordon 101) applied by mist blowing, tree injection, or spraying at the tree base, on cut stumps, or in frills have also been successful. Diameter growth rates under individual tree selection management of northern hardwoods in Wisconsin and Michigan average 12 to 13 mm (0.48 to 0.51 in) per decade for poles and saplings, respectively (21). Sugar maple, the most abundant species in these stands, averages from 3.8 to 5.0 cm (1.5 to 2.0 in) per decade for poles and saw logs. Annual ingrowth in these stands is averaging 0.2 and 3.1 trees per hectare (0.1 and 1.3/acre) into the pole and sapling classes, respectively, and exceeds mortality in all but one stand, so stocking of eastern hophornbeam. is increasing. Subcanopy trees in Michigan stands average 9.9 in (32.5 ft) tall after 50 years with growth progressively declining as the trees age, the peak growth of 3.3 m (10.8 ft) occurring the first decade (54). The biomass of trees with basal diameters ranging between 5 and 23 mm (0.2 and 0.9 in) can be estimated by the equation Y = 34.3X±. §where Y is the total plant weight in grams and X is the basal diameter in centimeters; the equation accounts for 98 percent of the variation in weights (16). Rooting Habit- No information available. Reaction to Competition- The species typically grows in climax forests in the northern part of its range. It is classed as shade tolerant and reproduces well under full shade. Ecologists rank it high in their ratings of species climax potential (12,51). In the South the composition of the climax forests has not been clearly identified. The species is associated with later seral stages that follow the pioneer pine communities. Eastern hophornbeam first appears in piedmont pine stands after they are about 90 years old and in bottom-land hardwoods after they are about 36 years old (38). Repeated harvesting of the larger, commercial species from hardwood stands that contain well-developed subcanopies of eastern hophornbeam and its allies may allow the subcanopy to dominate and prevent the reproduction of the original overstory species (14,29). Damaging Agents- The most important disease problems are the trunk and butt rots. The species is one of the most defective in Ontario-defect claims 20 percent of the gross merchantable cubic foot volumes of trees more than 10 cm (4 in) d.b.h. (3). Losses are greatest in trees 95 to 140 years old and more than 18 cm (7 in) d.b.h., with cull averaging 32 percent. Brown stains cause 62 percent of the defect, while yellow-brown stringy rot, white spongy rot, and an incipient yellow rot account for most of the remaining defect. The organisms primarily responsible are Stereum murrayi, Phellinus igniarius, and Pholiota limonella (3). Throughout its range, eastern hophornbeam is browsed by white-tailed deer only incidentally. Selective deer browsing of more desirable species of reproduction increases the proportion of beech and eastern hophornbeam, which are avoided in heavily browsed regenerated stands in New York (42). Beaver in Ohio prefer the species as food-it was the most utilized food after alder and aspen in one drainage (25). Eastern hophornbeam is considered to be relatively free of insect and other disease problems. The species is not readily injured by cold temperatures; succulent growth was not damaged until temperatures dropped below -8° C (17° F) in Wisconsin (1). It is sensitive to pollutants in the upper Ohio River Valley, where it does not grow in areas with high exposure to oxides of sulfur or nitrogen, or to chlorine or fluorine (33). Its tough, resilient branches resist wind, snow, and ice damage.",Sapling and Pole Stages to Maturity,Eastern Hophornbeam,ostrya,virginiana,hardwood,14,0
"Eastern hophornbeam grows on a wide variety of soil and physiographic conditions throughout its range. It is found on soils in all of the major orders in the Eastern United States, Spodosols in the North, Alfisols in the North and Central, Mollisols in the Central, Ultisols in the South, and Entisols and Inceptisols throughout. Along the northernmost portion of its range, eastern hophornbeam is found on dry-mesic to xeric sites, areas with shallow soils, and bedrock outcrops on upper slopes and ridgetops (31,53). Just to the south within Ontario and Quebec, it grows primarily on mesic and dry-mesic sites. In Wisconsin the species is most abundant on mesic sites usually associated with a mid-catena position, but it also occurs on dry-mesic, wet-mesic, and xeric sites (12). Mesic sites throughout the Appalachians are most favorable (32,52), but the species tolerates a progressively wider range of conditions northward. In the Smokies and southern Cumberland Plateau it is limited to north slopes, protected lower slopes, ravines, and coves. It grows primarily on dry-mesic and mesic valley bottoms and lower slope positions in the highlands of New Jersey but does extend upslope to drier positions. In Massachusetts it is also found in xeric positions on ridgetops as well (17,43). From the central lowlands southward the species is associated with wet-mesic to dry-mesic sites. It is frequently found on xeric sites in northcentral Florida, however (35). Through the Ozark Plateau, Central Lowlands, and the Kentucky-Tennessee Highland Rim best development occurs on welldrained flood plains of the major rivers, ravines, coves, and lower slopes. Progressing upslope it is less abundant, becoming rare in xeric situations, and it is absent from the wettest sites as on lower flood plains, depressions, sink holes, and bogs (45,47,49). In the south the species is most frequent on terraces of minor streams, common on the well-drained terraces and outwash in major bottoms, and occurs in most upland situations (40,41). Originally it was limited to sites not subject to frequent wildfire in the south such as those protected by bodies of water, swamps, or bottom lands, or those that are less prone to fire such as ravines or steep bluffs along streams (14). At the westernmost extension of the species range in the Black Hills of South Dakota, the tree grows principally in mesic, deciduous streamside communities at lower elevations and to a much lesser extent on dry-mesic but deep-soiled pine sites. Eastern hophornbeam grows below elevations of 910 in (3,000 ft) in the northern Appalachians but is most often found at 75 to 230 in (250 to 750 ft) in Quebec (5), and at about 460 in (1,500 ft) in New York (7). Its upper elevational limit is 1520 in (5,000 ft) in the southern Appalachians, although it is more common from 850 to 980 in (2,800 to 3,200 ft). The lowest slope position it occupies is determined by its intolerance of flooding. It was the third most flood sensitive of 39 species compared in Tennessee, where inundation 16 percent or more of the time killed all eastern hophornbeam (22). Along an Illinois stream it is limited to positions flooded less than I percent of the time (4). Surface soils on sites occupied by eastern hophornbeam include a full range of textures and moisture-drainage classes. Best development of the species is associated with soils that are in loam or loam-modified textural classes and on somewhat poorly drained to well-drained soils. Surface soil pH ranges from 4.2 to 7.6 in the northern half of its range (10,26). In the mid-South the pH range is narrower-from 4.6 to 5.6 (8). Nevertheless, the species does occur on sites with shallow soils over limestone or soils with limestone fragments at various locations throughout its range. The calcium content of the foliage of eastern hophornbeam is high in comparison to other species on the same site. Concentrations frequently exceed 2 percent on the basis of ovendry leaf weight (2,11). Nitrogen concentrations range from moderate to high in comparison to the other species on the site, but concentrations of phosphorus and potassium are usually low.",Soils and Topography,Eastern Hophornbeam,ostrya,virginiana,hardwood,15,0
"Buds and catkins of eastern hophornbeam are important winter food for ruffed grouse, equal to the value of aspen and birch, and the nuts are secondary food in the fall. It is a preferred food for sharp-tailed grouse and wild turkey and is eaten to a lesser extent by bobwhite, red and grey squirrels, cottontails, white-tailed deer, ring-necked pheasant, purple finch, rose-breasted grosbeak, and downy woodpeckers (23,24). The tree is not commonly used as an ornamental because of its slow growth and sensitivity to pollutants.",Special Uses,Eastern Hophornbeam,ostrya,virginiana,hardwood,16,0
"Redbud is a regular but usually not a common understory component of many forest types throughout the Eastern United States. It is not a commercial timber species, and although it grows in many forest cover types, it is not listed in all of them by the Society of American Foresters (4).",Associated Forest Cover,Eastern Redbud,cercis,canadensis,hardwood,1,0
A wide range of climatic conditions are present in the large geographical range of redbud. Mean annual precipitation is less than 510 mm (20 in) in dry south Texas and approximately 1270 mm (50 in) in moist central Florida. Mean annual snowfall in the northern perimeter of redbud is about 90 cm (35 in). Mean January temperatures vary from -8° C (18° F) to 16° C (61° F) within the native range of redbud. Mean July temperatures vary from about 21° C (70° F) in southern Pennsylvania to 26° C (79° F) in central Florida. Frost-free days can vary from 160 to 300 days.,Climate,Eastern Redbud,cercis,canadensis,hardwood,2,0
"Donselman (3) investigated morphological variation in trees grown from seed collected from 13 diverse locations in the range of redbud. He concluded that trees from more xeric locations in the Southwestern and western portions of the range exhibited adaptations to high solar radiation, drying winds, low humidity, low soil moisture, and other environmental factors associated with high evapotranspiration. Leaves from those plants were thicker and smaller, had increased pubescence, and showed more efficient stomatal geometry than trees from mesic locations. Two subspecies of redbud have been identified: Texas redbud (Cercis canadensis var. texensis) found in southern Oklahoma, Trans-Pecos Texas, and southeastern New Mexico; and eastern redbud (C. canadensis var. canadensis) found in the remainder of the range of redbud (9). Another native Cercis species, California redbud (C. occidentalis), is found in Utah, Nevada, California and Arizona.",Genetics,Eastern Redbud,cercis,canadensis,hardwood,7,0
"The range of eastern redbud is from New Jersey and southern Pennsylvania northwest to southern Michigan, southwest into southeastern Nebraska, south to central Texas, and east to central Florida (8). A disjunct population of redbud extends from the Trans-Pecos and south Texas into Mexico. -The native rane of eastern redbub.",Native Range,Eastern Redbud,cercis,canadensis,hardwood,11,0
"Flowering and Fruiting- Redbud flowers are pink to reddish purple, and rarely white. They are home on pedicels in clusters of two to eight. Flowers are produced from small buds on old twigs, branches, and trunks. Flowers are bisexual and the tree is self-pollinating. Flowering usually occurs sometime from March to May and precedes leafing. In Indiana, the tree requires 30 days of temperatures averaging more than 10° C (50° F) . Previous winter chilling also enhances flowering (11). Pollination is usually accomplished by bees. After 2 or 3 weeks leaves appear and the flowers drop. The ovaries of one to several flowers in most flower clusters enlarge and develop into fruits that reach their full size by midsummer (13). Fruits are flat reddish-brown pods about 1.3 cm (0.5 in) wide and 5 to 10 cm (2 to 4 in) long (16). Each fruit contains 4 to 10 brown, hard, compressed bean-like seeds, each about 6mm (0.25 in) long. The fruits remain on the tree until after leaf fall; some persist throughout winter (15). Seed Production and Dissemination- Seeds are released by the opening of fruit sutures or decay of the fruit wall. Most seeds are dispersed during fall and winter by wind and animals. Many seeds are injured by insects. Those that fall to the ground usually remain dormant for several years (1). For artificial propagation, seeds should be collected, cleaned, and dried when ripe to avoid insect damage. Dried seeds can be stored in sealed glass or metal containers at 2' to 5' C (35' to 41° F). Seed treatment is necessary for propagation because redbud shows delayed germination due to impermeability of the seed coat to water and dormancy of the embryo (1). The seed coat can be made permeable to water by mechanical scarification or by immersion in boiling water or in concentrated sulfuric acid for about 30 minutes. After scarifying, seeds should be stratified in moist sand at about 5° C (41' F) for 5 to 8 weeks (14). Prepared seeds should be sown in well-prepared seedbeds in late April or early May (14). Moist soil should cover seeds at a maximum depth of 0.5 em (0.2 in). Propagation can also be accomplished by layering or cuttings. Seedling Development- Approximate site characteristics and seedling vigor determine seedling establishment. Germination is epigeal (14). Under optimum conditions seedlings can grow 0.3 m (1 ft) in height the first growing season. Continuous terminal growth is related to light intensity, photoperiod, and temperature (11). Once established, seedlings can endure much shading. Vegetative Reproduction- No information available.",Reproduction and Early Growth,Eastern Redbud,cercis,canadensis,hardwood,13,0
"Growth and Yield- Development of young redbud to the flowering stage is rapid. Young redbuds have been observed first flowering when less than 7 years old but do not fruit the first year of blossoming. Annual cambial growth begins just before flowering and shoot growth usually begins during flowering (11). In Indiana terminal growth of saplings started when the weekly mean of the daily mean temperature reached 13° C (55° F). Maximum growth was reached the fourth week and growth ceased after 6 to 10 weeks under low soil moisture conditions. With adequate soil moisture, terminal growth continued until frost. More than 1076 lux (100 lumens/ft²) of light and more than 13 hours of daylight daily are needed to maintain terminal growth of saplings. Rooting Habit- Redbud develops a deep taproot that descends rapidly the first few years if the soil permits. Initial growth depends on soil moisture and the absence of a tight clay subsoil. If impenetrable subsoils are present the taproot grows horizontally. Secondary roots appear when the taproot is 5 to 8 cm (2 to 3 in) long and grow rapidly. Reaction to Competition- As redbuds grow and mature they become less shade tolerant. Old trees usually suffer from heart rot and cannot normally tolerate severe competition and shade. Redbud is most accurately classed as tolerant of shade. Damaging Agents- Redbud is a host to a variety of insects, but damage is not normally severe. Bark and phloem borers include three species of Hypothenemus, and Pityophthorus lautus (2). A seed beetle, Gibbobruchus mimus, breeds in the seed of redbud. Numerous wood borers have been found in redbud. Agrilus otiosus, three species of Hypothenemus, three species of Micracis, two species of Microcisella, Pityophthorus lautus, Ptosima gibbicollis, and Thysanoes fimbricornis all inhabit portions of the wood of redbud. Other insects feed on the leaves of redbud. The redbud leaffolder, Fascista cercerisella, feeds on leaves which the larvae web together. The grape leaffolder, Desmia funeralis, an important pest of grape, also feeds on redbud. The Japanese weevil, Callirhopalus bifasciatus, and Norape ovina both consume redbud leaves. Other insects feed on redbud by extracting juices from the plant. The twolined spittlebug, Prosapia bicincta, has been recorded feeding on redbud. The terrapin scale, Mesolecanium nigrofasciatum, and San Jose scale, Quadraspidiotus perniciosus, like most of the other redbud parasites, inhabit a variety of hosts including redbud. The periodical cicada, Magicicada septendecim, lays its eggs in more than 70 species of trees and other plants, including redbud. There are three main diseases of redbud: leaf anthracnose, Mycosphaerella cercidicola, Botryosphaeria canker, and Verticillium wilt (6). The most serious is the canker Botryosphaeria ribis or its variety chromogena. The species is mainly a saprobe; the variety is a parasite. This variety produces stem and twig lesions and entire groves of redbuds have been killed by this disease. Verticillium wilt (Verticillium albo-atrum) sometimes kills redbuds, especially in the Midwestern United States. Redbud is vulnerable to Texas root rot (Phymatotrichum omnivorum), but redbud is not commonly grown in its range. A variety of sap and heart rots also infect eastern redbud.",Sapling and Pole Stages to Maturity,Eastern Redbud,cercis,canadensis,hardwood,14,0
"Redbud is found on a variety of sites ranging from xeric to mesic but grows better on moist, well-drained sites. It is normally more abundant on south-facing slopes where sunlight is more intense and there is less plant competition (11). This species does not usually grow on flooded sites because it cannot endure inundation or survive in poorly aerated soils. The tree grows well in a variety of soil textures but is not found in coarse sands (11). It requires some fine or colloidal material. Redbud is tolerant of a wide pH range but grows best where the pH is above 7.5. It is prevalent on limestone outcrops and on alkaline soils derived from them (11,12). Redbud is tolerant of nutrient deficiencies. Therefore, less competition can occur from associated trees that are less vigorous on the nutrient deficient sites. In Indiana no relationship was noted between distribution of redbud and soil calcium or magnesium. Redbud is found on soils of most soil orders, but most commonly on those of the orders Alfisols and Mollisols.",Soils and Topography,Eastern Redbud,cercis,canadensis,hardwood,15,0
"The eastern redbud is extensively planted as an ornamental throughout the Eastern United States. It is tolerant of a wide range of site conditions, is not especially vulnerable to insects or diseases, is relatively easy to maintain, and makes a beautiful shrub or small tree, especially when flowering. Bark of redbud has been used as an astringent in the treatment of dysentery. Flowers of the tree can be put into salads or fried and eaten (16). There is some documented wildlife use of redbud fruit. Cardinals have been observed feeding on the seeds, and seeds have been consumed by ring-necked pheasants rose-breasted grosbeaks (5), and bobwhites (7) White-tailed deer and gray squirrels have also been observed feeding on the seeds (5). Flowers of the tree are regarded as important in the production of honey by bees (10).",Special Uses,Eastern Redbud,cercis,canadensis,hardwood,16,0
"Pure stands of eastern redcedar are scattered throughout the primary range of the species. Most of these stands are on abandoned farm lands or drier upland sites. The forest cover type Eastern Redcedar (Society of American Foresters Type 46) is widespread and therefore has many associates (10). Variants of the type are eastern redcedar-pine, eastern redcedar-hardwood, and eastern redcedar-pine-hardwood. The eastern redcedar-pine variant is composed of eastern redcedar and either shortleaf pine (Pinus echinata) or Virginia pine (P. virginiana) and is found throughout the southern half of its range. The eastern redcedar-hardwood variant is found throughout the central part of its range and includes a mixture of red (Quercus rubra) and white (Q.alba) oaks, hickories (Carya spp.), black walnut (Juglans nigra), and other hardwoods. The third variant, eastern redcedar-pine-hardwood, includes all of the above species associations (15). Eastern redcedar appears as a minor component of several other forest cover types. Eastern redcedar is among the first to invade abandoned fields and areas cleared for pasture (25). On deeper soils, persimmon (Diospyros virginiana) and sassafras (Sassafras albidum) are associated invaders and may crowd it out. In cedar glades, the species is commonly associated with blackjack oak (Quercus marilandica), winged elm (Ulmus alata), fragrant sumac (Rhus aromatica), Carolina buckthorn (Rhamnus caroliniana), rusty blackhaw (Viburnum rufidulum), and Alabama supplejack (Berchemia scandens). Little bluestem (Andropogon scoparius), big bluestem (A. gerardi), yellow Indiangrass (Sorghastrum nutans), switchgrass (Panicum virgatum), dropseed (Sporobolus spp.), and numerous composites and legumes are common herbaceous plants.",Associated Forest Cover,Eastern Redcedar,juniperus,virginiana,conifer,1,1
"The wide natural distribution of eastern redcedar clearly indicates its ability to grow under varying and extreme climatic conditions. Average annual precipitation varies from about 380 mm (15 in) in the northwestern section to 1520 mm (60 in) in the southern parts of its range (40). Throughout the eastern redcedar range, average precipitation from April through September measures from 380 mm (15 in) to 760 mm (30 in). This suggests that summer precipitation may be more limiting to the species than average annual precipitation. Average annual snowfall ranges from a trace to more than 254 cm (100 in). Average annual temperatures vary from about 4° C (40° F) in the north to 20° C (68° F) in the southern part of the botanical range. Average annual maximum temperature ranges only from about 32° C (90° F) to 41° C (105° F), but average minimum temperature ranges from -43° C (-45° F) to -7° C (20° F). The growing season varies from about 120 to 250 days.",Climate,Eastern Redcedar,juniperus,virginiana,conifer,2,1
