,sent,category,plant,genus,species,plant_group,category_int
72,"Goldcrest has gained the Royal Horticultural Society's Award of Garden Merit (confirmed 2017).Monterey cypress is one of the parents of the fast-growing cultivated hybrid Leyland cypress, Cupressus × Leylandii, the other parent being Nootka cypress, Callitropsis nootkatensis.",Hybrids,,Cupressus,macrocarpa,,9
73,"Cupressus macrocarpa cultivars grown in New Zealand are:
'Aurea Saligna'—long cascades of weeping, golden-yellow, thread-like foliage on a pyramidal tree
'Brunniana Aurea'—pillar or conical form with soft rich-golden foliage
'Gold Rocket'—narrow erect form with golden colouring, slow-growing
'Golden Pillar'—compact conical tree with dense yellow shoots and foliage
'Greenstead Magnificent'—dwarf form with blue-green foliage
'Lambertiana Aurea'—hardy upright form tolerating poor soil and climate conditions",Hybrids,,Cupressus,macrocarpa,,9
74,"A russet dye can be made from a decoction of the bark, apparently due to the tannin it contains, and was used by Native Americans to dye fishing nets so as to make them less visible underwater.",Special Uses,,Alnus,rubra,,16
75,"A small evergreen conifer (sometimes appearing as a shrub), the Pacific yew grows to 10–15 m (33–49 ft) tall and with a trunk up to 50 centimetres (20 in) diameter, rarely more.",Description,,Taxus,brevifolia,,5
76,"In some instances, trees with heights in excess of 20 m (66 ft) occur in parks and other protected areas, quite often in gullies.",Description,,Taxus,brevifolia,,5
77,"The tree is extremely slow growing, and has a habit of rotting from the inside, creating hollow forms.",Description,,Taxus,brevifolia,,5
78,This makes it difficult and sometimes impossible to make accurate ring counts to determine a specimen's true age.,Description,,Taxus,brevifolia,,5
79,"Often damaged by succession of the forest, it usually ends up in a squat, multiple-leader form, able to grow new sprouts from decapitated stumps.",Description,,Taxus,brevifolia,,5
80,"In its shrub form, sometimes called ""yew brush"", it can reproduce vegetatively via layering.",Description,,Taxus,brevifolia,,5
81,"It has thin, scaly bark, red then purplish-brown, covering a thin layer of off-white sap wood with a darker heartwood that varies in color from brown to a purplish hue to deep red, or even bright orange when freshly cut.",Description,,Taxus,brevifolia,,5
82,"The leaves are lanceolate, flat, dark green, 1–3 cm (3⁄8–1+3⁄16 in) long and 2–3 millimetres (3⁄32–1⁄8 in) broad, arranged spirally on the stem, but with the leaf bases twisted to align the leaves in two flat rows either side of the stem except on erect leading shoots where the spiral arrangement is more obvious.
",Description,,Taxus,brevifolia,,5
83,"The seed cones are highly modified, each cone containing a single seed 4–7 mm (3⁄16–1⁄4 in) long partly surrounded by a modified scale which develops into a soft, bright red berry-like structure called an aril, 8–15 mm (5⁄16–9⁄16 in) long and wide and open at the end.",Description,,Taxus,brevifolia,,5
84,The arils are mature 6–9 months after pollination.,Description,,Taxus,brevifolia,,5
85,"The seeds contained in the arils are eaten by thrushes and other birds, which disperse the hard seeds undamaged in their droppings; maturation of the arils is spread over 2–3 months, increasing the chances of successful seed dispersal.",Description,,Taxus,brevifolia,,5
86,"The male cones are globose, 3–6 mm (1⁄8–1⁄4 in) diameter, and shed their pollen in early spring.",Description,,Taxus,brevifolia,,5
87,"It is mostly dioecious, but occasional individuals can be variably monoecious, or change sex with time.",Description,,Taxus,brevifolia,,5
88,"A specimen located in the White Mountains of California was measured by Tom Harlan, a researcher with the Laboratory of Tree-Ring Research, to be 5,062 years old as of 2010.",Sapling and Pole Stages to Maturity,,Pinus,longaeva,,14
89,This would make it the oldest known non-clonal tree in the world.,Sapling and Pole Stages to Maturity,,Pinus,longaeva,,14
90,The identity of the specimen was kept secret by Harlan.,Sapling and Pole Stages to Maturity,,Pinus,longaeva,,14
91,"Harlan passed away in 2013, and neither the tree nor the core Harlan studied have been found, making the age or existence of this tree unable to be confirmed.",Sapling and Pole Stages to Maturity,,Pinus,longaeva,,14
92,"The confirmed oldest tree of this species, ""Methuselah"", is also located in the Ancient Bristlecone Pine Forest of the White Mountains.",Sapling and Pole Stages to Maturity,,Pinus,longaeva,,14
93,"Methuselah is 4,854 years old, as measured by annual ring count on a small core taken with an increment borer.",Sapling and Pole Stages to Maturity,,Pinus,longaeva,,14
94,Its exact location is kept secret.,Sapling and Pole Stages to Maturity,,Pinus,longaeva,,14
95,"Among the White Mountain specimens, the oldest trees are found on north-facing slopes, with an average of 2,000 years, as compared to the 1,000 year average on the southern slopes.",Sapling and Pole Stages to Maturity,,Pinus,longaeva,,14
96,"The climate and the durability of their wood can preserve them long after death, with dead trees as old as 7,000 years persisting next to live ones.",Sapling and Pole Stages to Maturity,,Pinus,longaeva,,14
97,"A tree usually 15–18 meters (50–60 feet) high, maximum height 100 ft, with broad pyramidal head when young, becoming in old age broad-topped and open.",Description,,Quercus,imbricaria,,5
98,Trunk up to 1 m (40 inches) in diameter (rarely 1.4 m or 56 in).,Description,,Quercus,imbricaria,,5
99,"It reaches its largest size in southern Illinois and Indiana, although the national champion is 104' by 68' in Cincinnati, Ohio.

",Description,,Quercus,imbricaria,,5
100,"Bark: Light brown, scaly; on young stems light brown, smooth.  ",Description,,Quercus,imbricaria,,5
101,"Branchlets slender, dark green and shining at first, later become light brown, finally dark brown.
Wood: Pale reddish brown, sapwood lighter; heavy, hard coarse-grained, checks badly in drying; used for shingles and sometimes in construction.  ",Description,,Quercus,imbricaria,,5
102,"Sp. gr., 0.7529; weight of cu.",Description,,Quercus,imbricaria,,5
103,"ft., 46.92 lbs.
",Description,,Quercus,imbricaria,,5
104,"Winter buds: Light brown, ovate, acute, one-eight inch long.
",Description,,Quercus,imbricaria,,5
105,"Leaves: Alternate, oblong or obovate, four to six inches long, one to two inches wide, wedge-shaped or rounded at base, acute or rounded at apex, sometimes entire or with undulated margins, sometimes more or less three-lobed.  ",Description,,Quercus,imbricaria,,5
106,"They come out of the bud involute, bright red, covered with rusty down above and white tomentum below.  ",Description,,Quercus,imbricaria,,5
107,"When full grown are dark green, smooth and shining above, pale green or pale brown, downy below; midribs stout yellow, grooved above, primary veins slender.  ",Description,,Quercus,imbricaria,,5
108,"In autumn they become dark red above, pale beneath, midribs darken, then the leaf.  ",Description,,Quercus,imbricaria,,5
109,"Petioles stout, hairy, flattened, grooved.  ",Description,,Quercus,imbricaria,,5
110,"Stipules about one-half inch long, caducous.
",Description,,Quercus,imbricaria,,5
111,Flowers:,Description,,Quercus,imbricaria,,5
112,"May, when leaves are half grown.  ",Description,,Quercus,imbricaria,,5
113,Staminate flowers borne on tomentose aments two to three inches long.  ,Description,,Quercus,imbricaria,,5
114,Bracts linear-lanceoate.  ,Description,,Quercus,imbricaria,,5
115,"Calyx pale yellow, downy, four-lobed; stamens four to five; anthers yellow.  ",Description,,Quercus,imbricaria,,5
116,Pistillate flowers borne on slender tomentose peduncles.  ,Description,,Quercus,imbricaria,,5
117,"Involucres scales are downy, about as long as the calyx lobes; stigmas short, reflexed, greenish-yellow.
Acorns: Ripen in autumn of second year, about 18 months after pollination.",Description,,Quercus,imbricaria,,5
118,"Stalked, solitary or in pairs; nut almost spherical, 9–18 millimeters or 1⁄2 to 2⁄3 in long; cup embraces one-half to two-thirds nut, is cup-shaped covered with light red brown, downy scales, rounded or acute at apex.",Description,,Quercus,imbricaria,,5
119,Kernel very bitter.,Description,,Quercus,imbricaria,,5
120,"It is distinguished from most other oaks by its leaves, which are shaped like laurel leaves, 8–20 cm (4–10 in) long and 1.5–7.5 cm (1⁄2–3 in) broad with an untoothed margin; they are bright green above, paler and somewhat downy beneath.",Description,,Quercus,imbricaria,,5
121,A yellow dye was once made from the bark and leaves.,Special Uses,,Symplocos,tinctoria,,16
122,The bark was used as a tonic by early American settlers.,Special Uses,,Symplocos,tinctoria,,16
123,"A. alnifolia is susceptible to cedar-apple rust, entomosporium leaf spot, fireblight, brown rot, cytospora canker, powdery mildew, and blackleaf.",Ecology,,Amelanchier,alnifolia,,6
124,"Problem insects include aphids, thrips, mites, bud moths, Saskatoon sawflies, and pear slug sawflies.",Ecology,,Amelanchier,alnifolia,,6
125,"It is also a larval host to the pale tiger swallowtail, two-tailed swallowtail, and the western tiger swallowtail.",Ecology,,Amelanchier,alnifolia,,6
126,"The foliage is browsed by deer, elk, rabbits, and livestock.",Ecology,,Amelanchier,alnifolia,,6
127,"The fruit are eaten by wildlife including birds, squirrels, and bears.",Ecology,,Amelanchier,alnifolia,,6
128,"A. procera is a large evergreen conifer with a narrow conic crown, growing up to 70 meters (230 ft) tall and 2 m (6 ft 7 in) in trunk diameter, rarely to 90 m (295 ft) tall and 2.7 m (8 ft 10 in) thick.",Description,,Abies,procera,,5
129,"The bark on young trees is smooth and gray with resin blisters, becoming red-brown, rough and fissured on old trees, usually less than 5 centimeters (2 in) thick; the inner bark is reddish.",Description,,Abies,procera,,5
130,"The leaves are needle-like, 1–3.5 cm (1⁄2–1+1⁄2 in) long, glaucous blue-green above and below with strong stomal bands, and a blunt to notched tip.",Description,,Abies,procera,,5
131,"They are arranged spirally on the shoot, but twisted slightly S-shaped to be upcurved above the shoot.",Description,,Abies,procera,,5
132,"The cones are erect, 11–22 cm (4+1⁄4–8+3⁄4 in) long and 6 cm (2+1⁄4 in) thick, with the purple scales almost completely hidden by the long exserted yellow-green bract scales; they ripen brown and disintegrate to release the winged seeds in fall.",Description,,Abies,procera,,5
133,Viable seeds are only produced every few years.,Description,,Abies,procera,,5
134,The species can grow for up to 200 years.,Description,,Abies,procera,,5
135,A. tetramera grows based on the resources available.,Reproduction and Early Growth,,Asimina,tetramera,,13
136,The time it takes to flower is correlated with fruit development.,Reproduction and Early Growth,,Asimina,tetramera,,13
137,More growth and more flowers occur after a disturbance like a wildfire.,Reproduction and Early Growth,,Asimina,tetramera,,13
138,Best growth occurs when there is a burn the prior spring.,Reproduction and Early Growth,,Asimina,tetramera,,13
139,Evidence suggests cutting the stem may also promote growth instead of burning.,Reproduction and Early Growth,,Asimina,tetramera,,13
140,The seeds of A. tetramera have a high oil content in the endosperm.,Reproduction and Early Growth,,Asimina,tetramera,,13
141,Seed viability is best in new seeds.,Reproduction and Early Growth,,Asimina,tetramera,,13
142,Old seeds have low viability due to oil loss.,Reproduction and Early Growth,,Asimina,tetramera,,13
143,"After 1–8 months, seedlings appear.",Reproduction and Early Growth,,Asimina,tetramera,,13
144,The root system develops before the appearance of seedlings.,Reproduction and Early Growth,,Asimina,tetramera,,13
145,Most seedlings emerge from September through March.,Reproduction and Early Growth,,Asimina,tetramera,,13
146,A. tetramera is fire adapted and grows at a faster rate when it is in a recently burned environment.,Sapling and Pole Stages to Maturity,,Asimina,tetramera,,14
147,Wildfires burn the taller plant canopy that typically shades the A. tetramera.,Sapling and Pole Stages to Maturity,,Asimina,tetramera,,14
148,"After burning, the plant regenerates at an increased growth rate.",Sapling and Pole Stages to Maturity,,Asimina,tetramera,,14
149,This allows for numerous flowers and fruits to grow.,Sapling and Pole Stages to Maturity,,Asimina,tetramera,,14
150,The plant’s growth rate declines over time as the taller plants take up canopy space again.,Sapling and Pole Stages to Maturity,,Asimina,tetramera,,14
151,A. tetramera relies on natural fires which allow the plant to access sunlight.,Sapling and Pole Stages to Maturity,,Asimina,tetramera,,14
152,Fire suppression in its habitat has reduced the number of A. tetramera.,Sapling and Pole Stages to Maturity,,Asimina,tetramera,,14
153,A. tetramera is found exclusively in coastal dune sand pine scrub habitat.,Habitat,,Asimina,tetramera,,8
154,Sand pine scrub is defined by dispersed sand pines and patchy openings.,Habitat,,Asimina,tetramera,,8
155,"Other associated plant taxa include scrub oaks (Quercus myrtifolia, Q. geminata, Q. chapmanii), saw palmetto, rusty lyonia, and other species of shrub.",Habitat,,Asimina,tetramera,,8
156,A. tetramera occurs only along the Atlantic Coastal Ridge complex in the excessively-drained quartz sand of the paola classification.,Habitat,,Asimina,tetramera,,8
157,The sand pine scrub ecosystem is mediated by frequent fires that historically created disturbance every 10–50 years.,Habitat,,Asimina,tetramera,,8
158,These disturbances enhance the structure and complexity of the system for several years by creating gaps in the canopy for colonization of different vegetation types.,Habitat,,Asimina,tetramera,,8
159,A. tetramera is a shade intolerant understory plant.,Habitat,,Asimina,tetramera,,8
160,"It occurs in varying levels of canopy, but it thrives in habitat where it has the most access to light.  ",Habitat,,Asimina,tetramera,,8
161,A. tetramera is easily outcompeted by larger sand pine and oak trees and even saw palmetto shrubs which are less likely to be shaded out.,Habitat,,Asimina,tetramera,,8
162,The presence of these frequent fires indicates better quality habitat for A. tetramera even if individuals have remained in a vegetative state for many years.,Habitat,,Asimina,tetramera,,8
163,"Too much fire, however, can reduce the cover vegetation that is home to rodents which help disperse the seeds.",Habitat,,Asimina,tetramera,,8
164,"A. triloba is a large shrub or small tree growing to a height of 35 ft (11 m), rarely as tall as 45 ft (14 m), with trunks 8–12 in (20–30 cm) or more in diameter.",Description,,Asimina,triloba,,5
165,"The large leaves of pawpaw trees are clustered symmetrically at the ends of the branches, giving a distinctive imbricated appearance to the tree's foliage.",Description,,Asimina,triloba,,5
166,"The leaves of the species are simple, alternate and spirally arranged, entire, deciduous, obovate-lanceolate, 10–12 in (25–30 cm) long, 4–5 in (10–13 cm) broad, and wedge-shaped at the base, with an acute apex and an entire margin, with the midrib and primary veins prominent.",Description,,Asimina,triloba,,5
167,"The petioles are short and stout, with a prominent adaxial groove.",Description,,Asimina,triloba,,5
168,Stipules are lacking.,Description,,Asimina,triloba,,5
169,"The expanding leaves are conduplicate, green, covered with rusty tomentum beneath, and hairy above; when fully grown they are smooth, dark green above, and paler beneath.",Description,,Asimina,triloba,,5
170,"When bruised, the leaves have a disagreeable odor similar to a green bell pepper.",Description,,Asimina,triloba,,5
171,"In autumn, the leaves are a rusty yellow, allowing pawpaw groves to be spotted from a long distance.",Description,,Asimina,triloba,,5
172,"Pawpaw flowers are perfect, about 1–2 in (3–5 cm) across, rich red-purple or maroon when mature, with three sepals and six petals.",Description,,Asimina,triloba,,5
173,"They are borne singly on stout, hairy, axillary peduncles.",Description,,Asimina,triloba,,5
174,"The flowers are produced in early spring at the same time as or slightly before the new leaves appear, and have a faint fetid or yeasty smell.",Description,,Asimina,triloba,,5
175,"The fruit of the pawpaw is a large, yellowish-green to brown berry, 2–6 in (5–15 cm) long and 1–3 in (3–8 cm) broad, weighing from 0.7–18 oz (20–510 g), containing several brown or black seeds 1⁄2–1 in (15–25 mm) in diameter embedded in the soft, edible fruit pulp.",Description,,Asimina,triloba,,5
176,"The conspicuous fruits begin developing after the plants flower; they are initially green, maturing by September or October to yellow or brown.",Description,,Asimina,triloba,,5
177,"When mature, the heavy fruits bend the weak branches down.",Description,,Asimina,triloba,,5
178,"Other characteristics:

Calyx: Sepals three, valvate in bud, ovate, acuminate, pale green, downy
Corolla: Petals six, in two rows, imbricate in the bud; inner row acute, erect, nectariferous; outer row broadly ovate, reflexed at maturity; petals at first are green, then brown, and finally become dull purple or maroon and conspicuously veiny
Stamens:",Description,,Asimina,triloba,,5
179,"Indefinite, densely packed on the globular receptacle; filaments short; anthers extrorse, two-celled, opening longitudinally
Pollen: Shed as permanent tetrads
Pistils: Several, on the summit of the receptacle, projecting from the mass of stamens; ovary one-celled; stigma sessile; ovules many
Branchlets: Light brown, tinged with red, marked by shallow grooves
Winter buds: Small, of two kinds, the leaf buds pointed and closely appressed to the twigs, and the flower buds round, brown, and fuzzy
Bark: Light gray, sometimes blotched with lighter gray spots, sometimes covered with small excrescences, divided by shallow fissures; inner bark tough, fibrous; bark with a very disagreeable odor when bruised
Wood: Pale, greenish yellow, sapwood lighter; light, soft, coarse-grained and spongy with a specific gravity of  0.3969 and a density of 24.74 pounds per cubic foot (396.3 kg/m3)
Longevity of fruit production: Undetermined",Description,,Asimina,triloba,,5
180,"Abies amabilis, commonly known as the Pacific silver fir, is a fir native to the Pacific Northwest of North America, occurring in the Pacific Coast Ranges and the Cascade Range.",Summary,,Abies,amabilis,,17
181,"It is also commonly referred to as the white fir, red fir, lovely fir, Amabilis fir, Cascades fir, or silver fir.",Summary,,Abies,amabilis,,17
182,The species name is Latin for 'lovely'.,Summary,,Abies,amabilis,,17
183,"Abies balsamea or balsam fir is a North American fir, native to most of eastern and central Canada (Newfoundland west to central Alberta) and the northeastern United States (Minnesota east to Maine, and south in the Appalachian Mountains to West Virginia).

",Summary,,Abies,balsamea,,17
184,"Abies bracteata, the Santa Lucia fir or bristlecone fir, is the rarest and most endemic fir in North America, and according to some, the world.",Summary,,Abies,bracteata,,17
185,"It is confined to steep-sided slopes and the bottoms of rocky canyons in the Santa Lucia Mountains, in the Big Sur region on the central coast of California, United States.

",Summary,,Abies,bracteata,,17
186,"Abies concolor, the white fir, is a coniferous tree in the pine family Pinaceae.",Summary,,Abies,concolor,,17
187,"This tree is native to the mountains of western North America, including the Cascade Range and southern Rocky Mountains, and into the isolated mountain ranges of southern Arizona, New Mexico, and Northern Mexico.",Summary,,Abies,concolor,,17
188,"It naturally occurs at elevations between 900–3,400 metres (3,000–11,200 ft).
",Summary,,Abies,concolor,,17
189,It is popular as an ornamental landscaping tree and as a Christmas tree.,Summary,,Abies,concolor,,17
190,"Abies grandis (grand fir, giant fir, lowland white fir, great silver fir, western white fir, Vancouver fir, or Oregon fir) is a fir native to the Pacific Northwest and Northern California of North America, occurring at altitudes of sea level to 1,700 metres (5,600 ft).",Summary,,Abies,grandis,,17
191,"It is a major constituent of the Grand Fir/Douglas Fir Ecoregion of the Cascade Range.
",Summary,,Abies,grandis,,17
192,"The tree typically grows to 40–70 m (130–230 ft) in height, and may be the tallest Abies species in the world.",Summary,,Abies,grandis,,17
193,"There are two varieties, the taller coast grand fir, found west of the Cascade Mountains, and the shorter interior grand fir, found east of the Cascades.",Summary,,Abies,grandis,,17
194,It was first described in 1831 by David Douglas.,Summary,,Abies,grandis,,17
195,It is closely related to white fir.,Summary,,Abies,grandis,,17
196,"The bark was historically believed to have medicinal properties, and it is popular in the United States as a Christmas tree.",Summary,,Abies,grandis,,17
197,"Its lumber is a softwood, and it is harvested as a hem fir.",Summary,,Abies,grandis,,17
198,"It is used in paper-making, as well as construction for framing and flooring, where it is desired for its resistance to splitting and splintering.",Summary,,Abies,grandis,,17
199,"Abies grandis is a large evergreen conifer growing to 40–70 metres (130–230 feet) tall, exceptionally 100 m (330 ft), with a trunk diameter of up to 2 m (6 ft 7 in).",Description,,Abies,grandis,,5
200,The dead tree tops sometimes fork into new growth.,Description,,Abies,grandis,,5
201,"The bark is 5 centimetres (2 inches) thick, reddish to gray (but purple within), furrowed, and divided into slender plates.",Description,,Abies,grandis,,5
