text,category,plant,genus,species,plant_group,category_int
"According to David Douglas, who was guided to the (exceptionally thick) tree specimen he was looking for by a Native American, some tribes ate the sweetish seeds. These were eaten raw and roasted, and also used to make flour or pulverized into a spread. Native Americans also ate the inner bark. The sweet sap or pitch was consumed, in small quantities due to its laxative properties, but could also be chewed as gum. Its flavor is thought largely to be derived from the pinitol it contains.In the mid-19th century, the trees were used liberally as lumber during the California Gold Rush. In modern times they are used in much lower quantities, being spared for high-end products as with Western white pine.The odorless wood is also preferred for packing fruit, as well as storing drugs and other goods. Its straight grain also makes it a useful organ pipe material.",Special Uses,,Pinus,lambertiana,,16
"Acer circinatum, the vine maple, is a species of maple native to western North America.

",Summary,,Acer,circinatum,,17
"Acer floridanum (syn. Acer saccharum subsp. floridanum (Chapm.) Desmarais, Acer barbatum auct. non Michx.), commonly known as the Florida maple and occasionally as the southern sugar maple or hammock maple, is a tree that occurs in mesic and usually calcareous woodlands of the Atlantic and Gulf coastal plain in the United States, from southeastern Virginia in the north, south to central Florida, and west to Oklahoma and Texas and also common in south Illinois and Missouri

",Summary,,Acer,floridanum,,17
"Acer glabrum is a small tree growing to 6–9 metres (20–30 feet) tall, exceptionally 12 m (39 ft), with a trunk around 13 centimetres (5 inches) in diameter, exceptionally around 25 cm (10 in). The leaves are 2–13 cm (3⁄4–5 in) broad, three-lobed (rarely five-lobed), variable in the depth of lobing, occasionally so deeply lobed as to be divided into three leaflets; the lobes have an acute apex and a coarsely serrated margin. The flowers are produced in corymbs of five to ten, yellowish-green, at the same time as the new leaves in spring. The fruit is a samara or winged seed, which develops in fused pairs at an angle of less than 45° when mature, though some varieties spread out to 90°.",Description,,Acer,glabrum,,5
"Acer glabrum is a species of maple native to western North America, from southeastern Alaska, British Columbia and western Alberta, east to western Nebraska, and south through Washington, Oregon, Idaho, Montana and Colorado to California, Arizona, Utah, and New Mexico.",Summary,,Acer,glabrum,,17
"Acer glabrum is plentiful in many parts of the Rocky Mountains, Cascade Mountains, Olympic Mountains and the Sierra Nevada, often growing with ponderosa pine, Douglas-fir, and quaking aspen. It can be found in dry rocky areas.",Habitat,,Acer,glabrum,,8
"Acer grandidentatum, commonly called bigtooth maple, is a species of maple native to interior western North America. It occurs in scattered populations from western Montana to central Texas in the United States and south to Coahuila in northern Mexico.",Summary,,Acer,grandidentatum,,17
"Acer leucoderme (English: chalk maple; also whitebark maple, pale-bark maple and sugar maple) is a deciduous tree native to the southeastern United States from North Carolina south to northwest Florida and west to eastern Texas. It lives in the understory in moist, rocky soils on river banks, ravines, woods, and cliffs. Although generally an uncommon tree, it is most often found in the inner coastal plain and Piedmont regions of Georgia.

",Summary,,Acer,leucoderme,,17
"Acer leucoderme can be found from North Carolina south into Florida and west to Texas.  Acer leucoderme is an understory tree that is capable of surviving in poor soil conditions and grows on cliffs, along the banks of rivers, and in ravines.  Though a relatively uncommon species, the IUCN Red List categorized A. leucoderme as Least Concern with a stable population.",Habitat,,Acer,leucoderme,,8
"Acer leucoderme is primarily used as an ornamental tree, though it has been used as a minor timber, tree.",Special Uses,,Acer,leucoderme,,16
"Acer leucoderme is well-suited for the warmer and drier climates of the upland regions of the southeastern United States.  Because A. leucoderme does not require rich soil in which to grow, it can be a viable option for planting in urban environments.  Acer leucoderme can be grown as a shade tree or reclamation plant up through USDA plant hardiness zone 5B, far north of its natural range.  The tree is highly shade- and drought-tolerant.  It is recommended that seeds be gathered while still on the tree, as they do not stay viable for very long and are susceptible to insect damage.",Cultivation,,Acer,leucoderme,,4
"Acer macrophyllum, the bigleaf maple or Oregon maple, is a large deciduous tree in the genus Acer.
It is native to western North America, mostly near the Pacific coast, from southernmost Alaska to southern California. Some stands are also found inland in the foothills of the Sierra Nevada of central California, and a tiny population occurs in central Idaho.

",Summary,,Acer,macrophyllum,,17
"Acer nigrum, the black maple, is a species of maple closely related to A. saccharum (sugar maple), and treated by some authors as a subspecies of it, as Acer saccharum subsp. nigrum.Identification can be confusing due to the tendency of the two species to form hybrids. The simplest and most accurate method for distinguishing between the two trees is the generally three-lobed leaves of the black maple versus the generally five-lobed leaves of the sugar maple. The leaves of the black maple also tend to have a drooping appearance. Other differences that are not as pronounced include darker, more deeply grooved bark, slightly smaller seeds, a downy underside, and thicker petioles.  Hybrids are intermediate in their characteristics.",Summary,,Acer,nigrum,,17
"Acer pensylvanicum, known as the striped maple, moosewood, moose maple or goosefoot maple, is a small North American species of maple. The striped maple is a sequential hermaphrodite, meaning that it can change its sex throughout its lifetime.

",Summary,,Acer,pensylvanicum,,17
